0	1	a	20. Close ties w/nra &amp; funding more imp than people's lives &amp; sensible gun control; 21. Attempting to defend Planned Parenthood whilst at same time rolling back intelligent sex education &amp; replacing with abstinence only teachings which is just fucking stupid; GOLD
1	1	a	@USER @USER Buckle up Democrats and liberals! The shit is about to hit the fan for you and the FBI/DOJ ! GOLD
2	1	a	@USER @USER Go home you’re drunk!!! @USER #MAGA #Trump2020 👊🇺🇸👊 URL GOLD
3	0	a	@USER BULL CRAP! GOLD
4	1	a	@USER UR SO FUCKIDNG PRETTY PERHAPS I SHED TEARS URL GOLD
5	1	a	@USER @USER @USER And what does this have to do with a lying attorney and a 35 year old claim? I know it's hard for you liberals to look at two things at once GOLD
6	1	a	@USER @USER That is just awful ! He never was much anyway! A grown man acting like that; a bully ! Best to you and hubby Mark ! MAGA 🇺🇸 GOLD
7	1	a	@USER The truth for the gun control/anti-2A URL GOLD
8	1	a	@USER The funniest thing about her is how easily triggered she is!!! Well that and how ugly she is GOLD
9	1	a	@USER LMBO! She's like Pelosi. She thinks she important because she is a female. She is a destriment to society and Real Women! GOLD
10	1	a	@USER @USER How about really healing the country by leaving it and taking the rest of the loony liberals with you GOLD
11	1	a	#cincinatti  well these shootings will keep happening because of your stupid gun laws so its time americans woke up and do something about it because it will keep on happening again and again and not god and prayers are going to help only proper gun control laws will. GOLD
12	1	a	@USER I SAW IT but mi*rosoft sucks at translations GOLD
13	1	a	@USER How fucking sad 😣 GOLD
14	1	a	54 concert goers massacred in Fort Worth with 9mm Ruger P89. The NRA calls gun control research 'unethical'. GOLD
15	0	a	@USER Because she's an idiot!  #MAGA GOLD
16	0	a	@USER You ready for crazy ass racing tomorrow??? GOLD
17	1	a	@USER He is hurt and no one has checked on him!!! GOLD
18	0	a	@USER @USER [Eric opens the door and runs to the couch.] Fuck yeah. GOLD
19	0	a	@USER FUCK GOLD
20	1	a	@USER @USER So let me get this straight they want us to hold off on the confirmation hearing for what? Polygraph is inadmissible. All to hear he said she said? Ford signs paper in trump case against illegal separations? And Cavanagh has just about every woman stating he is honorable. Vote ye GOLD
21	1	a	@USER The people of PR tried telling us this last year but you were too busy bashing trump with mayor Cruz.   To you people 3000 peoples lives were worth it to try to make Trump look bad.  You are all a disgrace! GOLD
22	0	a	@USER *he closes his eyes so she won’t notice how groggy he is.* GOLD
23	1	a	@USER please don’t make the same mistake with #Kavanaugh! He is a perjurer who is also a Trump lackey. #VoteNoOnKavanaugh URL GOLD
24	1	a	"#maga #christineford #trump2020 #tcot #ccot #AmericaFirst #Patriots @USER  #BrettKavanaugh had this to say about Bill Clinton during Whitewater:   It's imperative to make his pattern of revolting behavior clear -- piece by painful piece.""   Indeed. URL GOLD"
25	1	a	@USER He's got his wee fake tap fae Turkey on to prove how loyal he is. GOLD
26	1	a	"@USER That guy has a legit case. Trump ain't fuck up the sexual orientation laws yet so dude needs to take them to court. And I say that as someone who describes themselves as I'm Not One of Those 'I'ma Sue!' People""."" GOLD"
27	1	a	@USER @USER @USER No. But I am. You are hilarious. Not in a good way. GOLD
28	1	a	@USER @USER @USER @USER Obama will be remembered as the man that destroy libya. Imagine if mi6 or cia give blm or antifa guns and wages war vs trump. Then they control the msm and say trump use chemical weapon to legalize their coup. The blood is on obama hand. GOLD
29	1	a	@USER @USER @USER She is a complete idiot🤡😡 GOLD
30	1	a	@USER @USER Be coo you got people thinking I really eat ass bitch 😂 GOLD
31	1	a	@USER Fuck the wall. More American white or black men kill way more than any immigrant. Gun control would help way more. GOLD
32	1	a	"@USER Eg, ANTIFA holding the position that police are racist or should be killed. Generalizations such as those are what I'd call attacking law enforcement.""  ""Attacking the cancer in the body"" is not the same as ""attacking the body"" even if it's systemic."" GOLD"
33	1	a	@USER @USER @USER You are a sick person GOLD
34	1	a	@USER @USER @USER He. Is. A. Sociopath. GOLD
35	0	a	@USER @USER First law — sensible fucking gun control! GOLD
36	1	a	@USER Sucks GOLD
37	1	a	@USER @USER @USER That does not change the fact that Muslim Linda Sarsour deliberately sows hate and division. She is a fraud who pretends to support women's rights. Does she protest Islam's discrimination of women. NO. GOLD
38	0	a	@USER Man that shit just got me hype like I was watchin it 18 years ago GOLD
39	1	a	@USER @USER @USER @USER @USER You are a fascist pig. Now go report my to your shitty Twitter so I will be removed. GOLD
40	0	a	#treasonousgoverment california Tries New Tack on Gun Violence: Bullet Control URL GOLD
41	0	a	After all my years of complaining im finally getting my bitch ass wisdom teeth out so I can stop fucking crying GOLD
42	1	a	@USER This is a premeditated attack by Democratic liberals and she is being rehearsed. Enough of the scam show. Vote Kavanaugh to SC. GOLD
43	1	a	@USER Happy 1stbirthday to Savage(Songs from a Broken World)! This time lst yr it dropped in my door and damn did it do some shit! 🎶 Little did we all know the ride it was going to take you and us as fans on. Thank you for this masterpiece! #garynuman #Savage #no2album URL GOLD
44	0	a	@USER Shitttt. I do &amp; does. GOLD
45	1	a	@USER This is like when shitty restaurants advertise their “voted #1 world famous crabcakes” but nobody can tell you who voted and nobody who lives outside a 10-mile radius has ever actually eaten there. GOLD
46	1	a	@USER Was Al Gore nominated for Supreme Court judge? You conservatives have some nerve. GOLD
47	1	a	@USER @USER @USER You mean cheating allegations. Not sexual harassment or assault it was about CHEATING. BIG difference. We all know facts scare liberals. If you are so concerned about sexual assaults you need to shout for the names on the slush funds to be revealed. Until than have a seat GOLD
48	1	a	@USER The epitome of class. A big fat class. GOLD
49	0	a	@USER Fuck it. Just do it Haha GOLD
50	1	a	@USER And who gives a shit GOLD
51	1	a	@USER @USER @USER We are calling you an operative . Or Shill. And more important a bigot for refusing to apologize for your actions to a woman just because she IS NOT a Scientologist. You won’t even acknowledge what you did or defend or explain it despite how many times it has been asked already? GOLD
52	1	a	"@USER @USER @USER @USER @USER @USER Nobody wants to take your guns, we just want gun control of what guns we will allow you to have""."" GOLD"
53	1	a	@USER @USER @USER He is such an arrogant creep... believes he is God’s gift to Politics GOLD
54	1	a	@USER @USER Can u fuck off already GOLD
55	0	a	@USER Yeah we need some more made up bullshit protestors and antifa lol time for an epic beatdown😉 GOLD
56	1	a	"Sept 20 at 2:18 EST, expect emergency text message from trump.  If it says no collusion,"" I'm gonna sue someone.  #resist   #MAGA"" GOLD"
57	1	a	@USER @USER And most Hillary supporters are racist liberals. GOLD
58	0	a	@USER @USER in every conner coz anti pakistani will not able to attack on our future generation rights GOLD
59	1	a	@USER where did you dig this one from? She is dope sha GOLD
